CV_ID,Date,Plate.x,Bucket#.x,sal.treat.x,TA.treat.x,SA.mm2,SA.mm2.SE,SA.mm2.1,date.numb,notes.x,SA.start,grow.ratio,grow.perc,dps,mm2.diff.start,pixel ratio_original,pixels measured,pixel ratio_MEDIAN,pixel ratio_SE,Diff_time,Diff_growth,incr_growth,tare boat (mg),shell+gut+boat (mg),boat+gut (mg),post muff,post muff.2,gut.wt,shell.wt,orgC.shell.wt,%oc.ic.shell,code,CI,bucket,med.ta,med.S,med.pH,rank.ig,prob.ig,net_growth,rank.ng,prob.ng
14,7/25/2022,1,6,amb,2000,97.033,14155.55617,97.033,2459786,NA,97.033,1,100,0,0,14.8003,1436.11751,14.8003,0.101452567,NA,NA,NA,63.5525,275.1773,65.9353,269.3937,269.302,2.3828,272.7945,3.4008,1.2466527,0,0.00873478,6,1847.45764,34.01,8.03,,0,0,,0
15,7/25/2022,1,6,amb,2000,125.127,18254.01953,125.127,2459786,NA,125.127,1,100,0,0,14.8003,1851.917138,14.8003,0.101452567,NA,NA,NA,42.4218,403.7519,50.9795,390.6267,346.8515,8.5577,395.1942,4.5675,1.155760889,0,0.021654417,6,1847.45764,34.01,8.03,,0,0,,0
17,7/25/2022,1,6,amb,2000,99.101,14457.24416,99.101,2459786,NA,99.101,1,100,0,0,14.8003,1466.72453,14.8003,0.101452567,NA,NA,NA,62.0963,302.8748,67.028,296.1412,295.2894,4.9317,297.9431,1.8019,0.604779906,0,0.016552489,6,1847.45764,34.01,8.03,,0,0,,0
18,7/25/2022,1,6,amb,2000,113.066,16494.51335,113.066,2459786,NA,113.066,1,100,0,0,14.8003,1673.41072,14.8003,0.101452567,NA,NA,NA,74.5346,375.1518,79.542,366.2449,365.5758,5.0074,370.1444,3.8995,1.053507766,0,0.013528234,6,1847.45764,34.01,8.03,,0,0,,0
19,7/25/2022,1,6,amb,2000,142.082,20727.4817,142.082,2459786,NA,142.082,1,100,0,0,14.8003,2102.856225,14.8003,0.101452567,NA,NA,NA,86.8138,403.5212,93.2769,393.0134,392.4211,6.4631,397.0581,4.0447,1.018667041,0,0.016277467,6,1847.45764,34.01,8.03,,0,0,,0
20,7/25/2022,1,6,amb,2000,99.356,14494.44456,99.356,2459786,NA,99.356,1,100,0,0,14.8003,1470.498607,14.8003,0.101452567,NA,NA,NA,47.5686,301.2538,50.8364,292.3515,291.9643,3.2678,297.986,5.6345,1.890860644,0,0.010966287,6,1847.45764,34.01,8.03,,0,0,,0
21,7/25/2022,1,6,amb,2000,130.176,18990.58754,130.176,2459786,NA,130.176,1,100,0,0,14.8003,1926.643853,14.8003,0.101452567,NA,NA,NA,52.0592,369.1411,58.8995,358.236,357.3855,6.8403,362.3008,4.0648,1.121940664,0,0.018880168,6,1847.45764,34.01,8.03,,0,0,,0
22,7/25/2022,1,6,amb,2000,383.812,55992.00608,383.812,2459786,NA,383.812,1,100,0,0,14.8003,5680.532744,14.8003,0.101452567,NA,NA,NA,82.1137,1253.1683,103.8299,1215.7694,1214.4054,21.7162,1231.4521,15.6827,1.27351279,0,0.017634628,6,1847.45764,34.01,8.03,,0,0,,0
23,7/25/2022,1,6,amb,2000,93.289,13609.36671,93.289,2459786,NA,93.289,1,100,0,0,14.8003,1380.705187,14.8003,0.101452567,NA,NA,NA,45.6683,266.4229,49.2105,259.7907,259.3077,3.5422,262.8807,3.09,1.175438136,0,0.013474553,6,1847.45764,34.01,8.03,,0,0,,0
24,7/25/2022,1,6,amb,2000,134.216,19579.95865,134.216,2459786,NA,134.216,1,100,0,0,14.8003,1986.437065,14.8003,0.101452567,NA,NA,NA,63.3623,272.1383,67.7003,265.0346,263.7692,4.338,267.8003,2.7657,1.032747163,0,0.016198638,6,1847.45764,34.01,8.03,,0,0,,0
25,7/25/2022,1,6,amb,2000,203.643,29708.24282,203.643,2459786,NA,203.643,1,100,0,0,14.8003,3013.977493,14.8003,0.101452567,NA,NA,NA,52.8472,544.7464,64.4028,526.5416,525.1444,11.5556,533.1908,6.6492,1.247058276,0,0.021672542,6,1847.45764,34.01,8.03,,0,0,,0
26,7/25/2022,1,6,amb,2000,94.791,13828.48438,94.791,2459786,NA,94.791,1,100,0,0,14.8003,1402.935237,14.8003,0.101452567,NA,NA,NA,56.1828,239.076,59.0149,232.3137,231.5038,2.8321,236.2439,3.9302,1.663619674,0,0.011988034,6,1847.45764,34.01,8.03,,0,0,,0
27,7/25/2022,1,6,amb,2000,201.945,29460.5319,201.945,2459786,NA,201.945,1,100,0,0,14.8003,2988.846584,14.8003,0.101452567,NA,NA,NA,52.1094,601.5083,63.96,580.1062,578.8206,11.8506,589.6577,9.5515,1.619838086,0,0.020097423,6,1847.45764,34.01,8.03,,0,0,,0
28,7/25/2022,1,6,amb,2000,146.003,21299.49263,146.003,2459786,NA,146.003,1,100,0,0,14.8003,2160.888201,14.8003,0.101452567,NA,NA,NA,47.658,401.5979,52.6598,390.3391,389.767,5.0018,396.5961,6.257,1.577675625,0,0.012611823,6,1847.45764,34.01,8.03,,0,0,,0
30,7/25/2022,1,6,amb,2000,228.61,33350.52711,228.61,2459786,NA,228.61,1,100,0,0,14.8003,3383.496583,14.8003,0.101452567,NA,NA,NA,52.69,570.0018,62.2474,553.3653,552.7246,9.5574,560.4444,7.0791,1.263122622,0,0.017053253,6,1847.45764,34.01,8.03,,0,0,,0
31,7/25/2022,1,6,amb,2000,157.234,22937.91514,157.234,2459786,NA,157.234,1,100,0,0,14.8003,2327.11037,14.8003,0.101452567,NA,NA,NA,54.0014,547.0343,62.979,529.8311,528.4187,8.9776,538.0567,8.2256,1.528760816,0,0.01668523,6,1847.45764,34.01,8.03,,0,0,,0
32,7/25/2022,1,6,amb,2000,115.316,16822.75222,115.316,2459786,NA,115.316,1,100,0,0,14.8003,1706.711395,14.8003,0.101452567,NA,NA,NA,73.3553,281.4729,77.3978,273.6385,273.1518,4.0425,277.4304,3.7919,1.366793257,0,0.014571222,6,1847.45764,34.01,8.03,,0,0,,0
33,7/25/2022,1,6,amb,2000,68.012,9921.858404,68.012,2459786,NA,68.012,1,100,0,0,14.8003,1006.598004,14.8003,0.101452567,NA,NA,NA,59.9507,172.1438,61.5045,168.821,168.3558,1.5538,170.59,1.769,1.036989273,0,0.009108389,6,1847.45764,34.01,8.03,,0,0,,0
34,7/25/2022,1,6,amb,2000,116.608,17011.23426,116.608,2459786,NA,116.608,1,100,0,0,14.8003,1725.833382,14.8003,0.101452567,NA,NA,NA,61.9065,300.4679,67.6113,290.4999,289.7819,5.7048,294.7631,4.2632,1.446314006,0,0.019353847,6,1847.45764,34.01,8.03,,0,0,,0
35,7/25/2022,1,6,amb,2000,196.932,28729.21571,196.932,2459786,NA,196.932,1,100,0,0,14.8003,2914.65268,14.8003,0.101452567,NA,NA,NA,51.186,533.5448,60.0731,516.4544,515.8253,8.8871,524.6577,8.2033,1.56355277,0,0.016938854,6,1847.45764,34.01,8.03,,0,0,,0
36,7/25/2022,1,6,amb,2000,96.266,14043.66319,96.266,2459786,NA,96.266,1,100,0,0,14.8003,1424.76568,14.8003,0.101452567,NA,NA,NA,43.3745,207.9616,47.05,201.9733,201.4092,3.6755,204.2861,2.3128,1.132137723,0,0.017991924,6,1847.45764,34.01,8.03,,0,0,,0
37,7/25/2022,1,6,amb,2000,101.365,14787.52539,101.365,2459786,NA,101.365,1,100,0,0,14.8003,1500.23241,14.8003,0.101452567,NA,NA,NA,65.6412,284.1662,70.5261,275.8868,275.2895,4.8849,279.2813,3.3945,1.215441206,0,0.017490967,6,1847.45764,34.01,8.03,,0,0,,0
38,7/25/2022,1,6,amb,2000,142.862,20841.27118,142.862,2459786,NA,142.862,1,100,0,0,14.8003,2114.400459,14.8003,0.101452567,NA,NA,NA,45.8518,255.6741,52.7774,245.6999,245.1316,6.9256,248.7485,3.0486,1.22557523,0,0.027841776,6,1847.45764,34.01,8.03,,0,0,,0
39,7/25/2022,1,6,amb,2000,106.962,15604.0378,106.962,2459786,NA,106.962,1,100,0,0,14.8003,1583.069689,14.8003,0.101452567,NA,NA,NA,52.5024,284.4987,57.1312,276.0395,275.5404,4.6288,279.8699,3.8304,1.368635927,0,0.016539113,6,1847.45764,34.01,8.03,,0,0,,0
40,7/25/2022,1,6,amb,2000,241.269,35197.27188,241.269,2459786,NA,241.269,1,100,0,0,14.8003,3570.853581,14.8003,0.101452567,NA,NA,NA,61.0898,660.9756,75.878,638.2232,637.7018,14.7882,646.1874,7.9642,1.23249076,0,0.022885312,6,1847.45764,34.01,8.03,,0,0,,0
41,7/25/2022,1,6,amb,2000,96.024,14008.35928,96.024,2459786,NA,96.024,1,100,0,0,14.8003,1421.184007,14.8003,0.101452567,NA,NA,NA,55.7778,246.6025,58.852,239.9464,239.504,3.0742,243.5283,3.5819,1.470835217,0,0.012623584,6,1847.45764,34.01,8.03,,0,0,,0
43,7/25/2022,1,6,amb,2000,214.732,31325.94981,214.732,2459786,NA,214.732,1,100,0,0,14.8003,3178.09802,14.8003,0.101452567,NA,NA,NA,49.6687,501.8274,57.8449,485.4268,484.3829,8.1762,493.6512,8.2244,1.666034641,0,0.016562707,6,1847.45764,34.01,8.03,,0,0,,0
44,7/25/2022,1,6,amb,2000,95.49,13930.45726,95.49,2459786,NA,95.49,1,100,0,0,14.8003,1413.280647,14.8003,0.101452567,NA,NA,NA,56.5401,693.9551,66.7327,673.425,672.9126,10.1926,683.7625,10.3375,1.511855359,0,0.014906638,6,1847.45764,34.01,8.03,,0,0,,0
45,7/25/2022,1,6,amb,2000,207.021,30201.03877,207.021,2459786,NA,207.021,1,100,0,0,14.8003,3063.972906,14.8003,0.101452567,NA,NA,NA,56.3793,264.5766,60.8189,257.3952,257.1599,4.4396,260.137,2.7418,1.053983094,0,0.017066392,6,1847.45764,34.01,8.03,,0,0,,0
46,7/25/2022,1,6,amb,2000,122.132,17817.09714,122.132,2459786,NA,122.132,1,100,0,0,14.8003,1807.59024,14.8003,0.101452567,NA,NA,NA,56.6355,362.7496,60.7587,352.9091,352.8082,4.1232,358.6264,5.7173,1.59422173,0,0.011497202,6,1847.45764,34.01,8.03,,0,0,,0
47,7/25/2022,1,6,amb,2000,193.896,28286.31208,193.896,2459786,NA,193.896,1,100,0,0,14.8003,2869.718969,14.8003,0.101452567,NA,NA,NA,42.5764,527.5987,50.585,511.5706,511.3343,8.0086,519.5901,8.0195,1.543428175,0,0.015413304,6,1847.45764,34.01,8.03,,0,0,,0
48,7/25/2022,1,6,amb,2000,127.596,18614.20698,127.596,2459786,NA,127.596,1,100,0,0,14.8003,1888.459079,14.8003,0.101452567,NA,NA,NA,63.8289,379.0609,67.05,369.5352,369.4252,3.2211,375.8398,6.3046,1.677470028,0,0.008570407,6,1847.45764,34.01,8.03,,0,0,,0
49,7/25/2022,1,6,amb,2000,185.684,27088.31318,185.684,2459786,NA,185.684,1,100,0,0,14.8003,2748.178905,14.8003,0.101452567,NA,NA,NA,59.8568,465.2603,66.3398,452.0466,451.8936,6.483,458.7773,6.7307,1.467095255,0,0.014131039,6,1847.45764,34.01,8.03,,0,0,,0
22,8/1/2022,1,6,amb,2000,351.0921267,38232.71105,353.652,2459793,NA,383.812,0.921419862,92.14198618,7,-30.16,13.7015,4845.562878,13.8014,0.126738668,7,-32.71987326,-4.674267608,82.1137,1253.1683,103.8299,1215.7694,1214.4054,21.7162,1231.4521,15.6827,1.27351279,0,0.017634628,6,1847.45764,34.01,8.03,1,0.022727273,-32.71987326,1,0.022727273
1,8/1/2022,1,6,amb,2000,259.6895586,28279.2894,261.583,2459793,NA,281.027,0.930810919,93.08109185,7,-19.444,13.7015,3584.079475,13.8014,0.126738668,7,-21.33744137,-3.04820591,86.6625,793.26,97.3801,771.2186,770.8483,10.7176,782.5424,11.3238,1.447052581,0,0.013695871,6,1847.45764,34.01,8.03,2,0.045454545,-21.33744137,2,0.045454545
25,8/1/2022,1,6,amb,2000,191.6565987,20870.73677,193.054,2459793,NA,203.643,0.948002141,94.8002141,7,-10.589,13.7015,2645.129381,13.8014,0.126738668,7,-11.98640132,-1.712343046,52.8472,544.7464,64.4028,526.5416,525.1444,11.5556,533.1908,6.6492,1.247058276,0,0.021672542,6,1847.45764,34.01,8.03,3,0.068181818,-11.98640132,3,0.068181818
43,8/1/2022,1,6,amb,2000,204.0472563,22220.03627,205.535,2459793,NA,214.732,0.957169868,95.71698676,7,-9.197,13.7015,2816.137803,13.8014,0.126738668,7,-10.68474374,-1.526391963,49.6687,501.8274,57.8449,485.4268,484.3829,8.1762,493.6512,8.2244,1.666034641,0,0.016562707,6,1847.45764,34.01,8.03,4,0.090909091,-10.68474374,4,0.090909091
11,8/1/2022,1,6,amb,2000,309.0873905,33658.54143,311.341,2459793,NA,317.165,0.981637318,98.16373181,7,-5.824,13.7015,4265.838712,13.8014,0.126738668,7,-8.077609482,-1.153944212,77.9739,1252.5301,91.0841,1220.4804,1219.5886,13.1102,1239.4199,18.9395,1.528093909,0,0.01057769,6,1847.45764,34.01,8.03,5,0.113636364,-8.077609482,5,0.113636364
24,8/1/2022,1,6,amb,2000,127.8329479,13920.56326,128.765,2459793,NA,134.216,0.959386362,95.93863623,7,-5.451,13.7015,1764.273648,13.8014,0.126738668,7,-6.383052074,-0.911864582,63.3623,272.1383,67.7003,265.0346,263.7692,4.338,267.8003,2.7657,1.032747163,0,0.016198638,6,1847.45764,34.01,8.03,6,0.136363636,-6.383052074,6,0.136363636
30,8/1/2022,1,6,amb,2000,223.2065625,24306.41805,224.834,2459793,NA,228.61,0.983482787,98.34827873,7,-3.776,13.7015,3080.563051,13.8014,0.126738668,7,-5.40343755,-0.77191965,52.69,570.0018,62.2474,553.3653,552.7246,9.5574,560.4444,7.0791,1.263122622,0,0.017053253,6,1847.45764,34.01,8.03,7,0.159090909,-5.40343755,7,0.159090909
19,8/1/2022,1,6,amb,2000,137.2353931,14944.45683,138.236,2459793,NA,142.082,0.972931124,97.29311243,7,-3.846,13.7015,1894.040554,13.8014,0.126738668,7,-4.846606924,-0.692372418,86.8138,403.5212,93.2769,393.0134,392.4211,6.4631,397.0581,4.0447,1.018667041,0,0.016277467,6,1847.45764,34.01,8.03,8,0.181818182,-4.846606924,8,0.181818182
44,8/1/2022,1,6,amb,2000,92.08955914,10028.23258,92.761,2459793,NA,95.49,0.971421091,97.14210912,7,-2.729,13.7015,1270.964842,13.8014,0.126738668,7,-3.400440861,-0.485777266,56.5401,693.9551,66.7327,673.425,672.9126,10.1926,683.7625,10.3375,1.511855359,0,0.014906638,6,1847.45764,34.01,8.03,9,0.204545455,-3.400440861,9,0.204545455
36,8/1/2022,1,6,amb,2000,93.45361358,10176.77337,94.135,2459793,NA,96.266,0.97786342,97.78634201,7,-2.131,13.7015,1289.790703,13.8014,0.126738668,7,-2.812386417,-0.401769488,43.3745,207.9616,47.05,201.9733,201.4092,3.6755,204.2861,2.3128,1.132137723,0,0.017991924,6,1847.45764,34.01,8.03,10,0.227272727,-2.812386417,10,0.227272727
2,8/1/2022,1,6,amb,2000,98.29233364,10703.69315,99.009,2459793,NA,100.689,0.98331496,98.33149599,7,-1.68,13.7015,1356.571814,13.8014,0.126738668,7,-2.39666636,-0.342380909,68.0252,277.6034,74.4288,269.3403,269.2768,6.4036,271.1998,1.8595,0.685656848,0,0.023612112,6,1847.45764,34.01,8.03,11,0.25,-2.39666636,11,0.25
31,8/1/2022,1,6,amb,2000,155.0931888,16889.10865,156.224,2459793,NA,157.234,0.993576453,99.35764529,7,-1.01,13.7015,2140.503136,13.8014,0.126738668,7,-2.140811193,-0.30583017,54.0014,547.0343,62.979,529.8311,528.4187,8.9776,538.0567,8.2256,1.528760816,0,0.01668523,6,1847.45764,34.01,8.03,12,0.272727273,-2.140811193,12,0.272727273
23,8/1/2022,1,6,amb,2000,91.24869006,9936.664868,91.914,2459793,NA,93.289,0.985260856,98.5260856,7,-1.375,13.7015,1259.359671,13.8014,0.126738668,7,-2.04030994,-0.291472849,45.6683,266.4229,49.2105,259.7907,259.3077,3.5422,262.8807,3.09,1.175438136,0,0.013474553,6,1847.45764,34.01,8.03,13,0.295454545,-2.04030994,13,0.295454545
10,8/1/2022,1,6,amb,2000,159.4196439,17360.24455,160.582,2459793,NA,161.388,0.995005824,99.50058245,7,-0.806,13.7015,2200.214273,13.8014,0.126738668,7,-1.968356123,-0.281193732,62.829,438.4713,70.834,424.9366,424.8018,8.005,430.4663,5.5297,1.284583718,0,0.018596113,6,1847.45764,34.01,8.03,14,0.318181818,-1.968356123,14,0.318181818
8,8/1/2022,1,6,amb,2000,115.4740587,12574.72323,116.316,2459793,NA,116.257,1.000507496,100.0507496,7,0.059,13.7015,1593.703674,13.8014,0.126738668,7,-0.782941281,-0.111848754,78.5378,355.4189,84.0078,346.2853,346.1703,5.47,349.9489,3.6636,1.046895704,0,0.015630854,6,1847.45764,34.01,8.03,15,0.340909091,-0.782941281,15,0.340909091
38,8/1/2022,1,6,amb,2000,142.2379188,15489.21447,143.275,2459793,NA,142.862,1.002890902,100.2890902,7,0.413,13.7015,1963.082413,13.8014,0.126738668,7,-0.624081202,-0.089154457,45.8518,255.6741,52.7774,245.6999,245.1316,6.9256,248.7485,3.0486,1.22557523,0,0.027841776,6,1847.45764,34.01,8.03,16,0.363636364,-0.624081202,16,0.363636364
18,8/1/2022,1,6,amb,2000,112.5652672,12257.96595,113.386,2459793,NA,113.066,1.002830205,100.2830205,7,0.32,13.7015,1553.558279,13.8014,0.126738668,7,-0.500732781,-0.071533254,74.5346,375.1518,79.542,366.2449,365.5758,5.0074,370.1444,3.8995,1.053507766,0,0.013528234,6,1847.45764,34.01,8.03,17,0.386363636,-0.500732781,17,0.386363636
17,8/1/2022,1,6,amb,2000,98.65766991,10743.477,99.377,2459793,NA,99.101,1.002785037,100.2785037,7,0.276,13.7015,1361.613966,13.8014,0.126738668,7,-0.44333009,-0.06333287,62.0963,302.8748,67.028,296.1412,295.2894,4.9317,297.9431,1.8019,0.604779906,0,0.016552489,6,1847.45764,34.01,8.03,18,0.409090909,-0.44333009,18,0.409090909
5,8/1/2022,1,6,amb,2000,241.4028899,26287.9348,243.163,2459793,NA,239.685,1.014510712,101.4510712,7,3.478,13.7015,3331.697845,13.8014,0.126738668,7,1.717889888,0.245412841,54.0482,679.09,63.4887,660.0852,659.8465,9.4405,669.6495,9.5643,1.428254632,0,0.014097673,6,1847.45764,34.01,8.03,19,0.431818182,1.717889888,19,0.431818182
27,8/1/2022,1,6,amb,2000,203.68192,22180.25242,205.167,2459793,NA,201.945,1.015954839,101.5954839,7,3.222,13.7015,2811.095651,13.8014,0.126738668,7,1.736919986,0.248131427,52.1094,601.5083,63.96,580.1062,578.8206,11.8506,589.6577,9.5515,1.619838086,0,0.020097423,6,1847.45764,34.01,8.03,20,0.454545455,1.736919986,20,0.454545455
3,8/1/2022,1,6,amb,2000,166.5953247,18141.65123,167.81,2459793,NA,164.396,1.020766929,102.0766929,7,3.414,13.7015,2299.248715,13.8014,0.126738668,7,2.19932475,0.31418925,55.0227,431.3439,64.8405,416.8458,416.7616,9.8178,421.5261,4.6803,1.110322706,0,0.023291084,6,1847.45764,34.01,8.03,21,0.477272727,2.19932475,21,0.477272727
47,8/1/2022,1,6,amb,2000,196.706777,21420.68361,198.141,2459793,NA,193.896,1.02189318,102.189318,7,4.245,13.7015,2714.828912,13.8014,0.126738668,7,2.810776957,0.401539565,42.5764,527.5987,50.585,511.5706,511.3343,8.0086,519.5901,8.0195,1.543428175,0,0.015413304,6,1847.45764,34.01,8.03,22,0.5,2.810776957,22,0.5
12,8/1/2022,1,6,amb,2000,127.7167948,13907.91459,128.648,2459793,NA,124.415,1.034023229,103.4023229,7,4.233,13.7015,1762.670572,13.8014,0.126738668,7,3.301794818,0.471684974,78.3415,338.1545,82.5111,329.7496,329.5788,4.1696,333.9849,4.2353,1.268111223,0,0.012484397,6,1847.45764,34.01,8.03,23,0.522727273,3.301794818,23,0.522727273
14,8/1/2022,1,6,amb,2000,100.5558301,10950.18004,101.289,2459793,NA,97.033,1.043861367,104.3861367,7,4.256,13.7015,1387.811234,13.8014,0.126738668,7,3.522830097,0.503261442,63.5525,275.1773,65.9353,269.3937,269.302,2.3828,272.7945,3.4008,1.2466527,0,0.00873478,6,1847.45764,34.01,8.03,24,0.545454545,3.522830097,24,0.545454545
20,8/1/2022,1,6,amb,2000,103.3325843,11252.55891,104.086,2459793,NA,99.356,1.047606586,104.7606586,7,4.73,13.7015,1426.134329,13.8014,0.126738668,7,3.976584303,0.568083472,47.5686,301.2538,50.8364,292.3515,291.9643,3.2678,297.986,5.6345,1.890860644,0,0.010966287,6,1847.45764,34.01,8.03,25,0.568181818,3.976584303,25,0.568181818
35,8/1/2022,1,6,amb,2000,200.9637387,21884.25194,202.429,2459793,NA,196.932,1.027913188,102.7913188,7,5.497,13.7015,2773.580944,13.8014,0.126738668,7,4.031738715,0.575962674,51.186,533.5448,60.0731,516.4544,515.8253,8.8871,524.6577,8.2033,1.56355277,0,0.016938854,6,1847.45764,34.01,8.03,26,0.590909091,4.031738715,26,0.590909091
9,8/1/2022,1,6,amb,2000,78.02808378,8496.986842,78.597,2459793,NA,73.709,1.066314833,106.6314833,7,4.888,13.7015,1076.896796,13.8014,0.126738668,7,4.319083781,0.617011969,62.9308,181.3746,65.0918,177.7065,177.6699,2.161,179.2136,1.5071,0.840951803,0,0.012058237,6,1847.45764,34.01,8.03,27,0.613636364,4.319083781,27,0.613636364
34,8/1/2022,1,6,amb,2000,121.3065331,13209.8594,122.191,2459793,NA,116.608,1.047878362,104.7878362,7,5.583,13.7015,1674.199987,13.8014,0.126738668,7,4.698533142,0.67121902,61.9065,300.4679,67.6113,290.4999,289.7819,5.7048,294.7631,4.2632,1.446314006,0,0.019353847,6,1847.45764,34.01,8.03,28,0.636363636,4.698533142,28,0.636363636
15,8/1/2022,1,6,amb,2000,129.88995,14144.56363,130.837,2459793,NA,125.127,1.045633636,104.5633636,7,5.71,13.7015,1792.663156,13.8014,0.126738668,7,4.762949969,0.680421424,42.4218,403.7519,50.9795,390.6267,346.8515,8.5577,395.1942,4.5675,1.155760889,0,0.021654417,6,1847.45764,34.01,8.03,29,0.659090909,4.762949969,29,0.659090909
45,8/1/2022,1,6,amb,2000,212.1749955,23105.11879,213.722,2459793,NA,207.021,1.032368697,103.2368697,7,6.701,13.7015,2928.311983,13.8014,0.126738668,7,5.153995508,0.736285073,56.3793,264.5766,60.8189,257.3952,257.1599,4.4396,260.137,2.7418,1.053983094,0,0.017066392,6,1847.45764,34.01,8.03,30,0.681818182,5.153995508,30,0.681818182
39,8/1/2022,1,6,amb,2000,112.9832199,12303.47954,113.807,2459793,NA,106.962,1.06399469,106.399469,7,6.845,13.7015,1559.326611,13.8014,0.126738668,7,6.021219855,0.860174265,52.5024,284.4987,57.1312,276.0395,275.5404,4.6288,279.8699,3.8304,1.368635927,0,0.016539113,6,1847.45764,34.01,8.03,31,0.704545455,6.021219855,31,0.704545455
32,8/1/2022,1,6,amb,2000,121.6927174,13251.91352,122.58,2459793,NA,115.316,1.062992126,106.2992126,7,7.264,13.7015,1679.52987,13.8014,0.126738668,7,6.376717405,0.910959629,73.3553,281.4729,77.3978,273.6385,273.1518,4.0425,277.4304,3.7919,1.366793257,0,0.014571222,6,1847.45764,34.01,8.03,32,0.727272727,6.376717405,32,0.727272727
26,8/1/2022,1,6,amb,2000,101.7352309,11078.61268,102.477,2459793,NA,94.791,1.081083647,108.1083647,7,7.686,13.7015,1404.088616,13.8014,0.126738668,7,6.944230882,0.992032983,56.1828,239.076,59.0149,232.3137,231.5038,2.8321,236.2439,3.9302,1.663619674,0,0.011988034,6,1847.45764,34.01,8.03,33,0.75,6.944230882,33,0.75
